    0.430296287835768609E+01    0.294131130242468375E+01    0.958560496454481559E+01    0.580526092380491718E+02    0.326219640837520433E-01   -0.104924789604151982E+03
    0.422086454739583949E+01    0.308136918390007164E+01    0.678780261879314928E+01    0.556429051220259296E+02    0.453294157456063940E-01   -0.103945364437216782E+03
    0.426203608095274689E+01    0.308661090549944106E+01    0.123031350356404872E+02    0.598560445361226954E+02    0.435230742755033984E+00   -0.103830066872487564E+03
    0.421113157044940145E+01    0.305743654114507368E+01    0.957708525742669003E+01    0.521388861417636988E+02    0.572869295711486443E-02   -0.103542080473626456E+03
    0.424642497404224528E+01    0.305231501550338358E+01    0.140348008591049673E+02    0.562477503041032634E+02    0.127330397824288871E-01   -0.102816385141787052E+03
    0.428576509282605489E+01    0.305761171379454133E+01    0.107075737919976675E+02    0.585983042867993973E+02    0.535541007015721271E+00   -0.102669785000232011E+03
    0.420033089968982232E+01    0.309841726007763052E+01    0.820303611301933699E+01    0.552844468112547602E+02    0.109723818089844521E+00   -0.102494061473447843E+03
    0.423116891320690947E+01    0.305082611013522031E+01    0.771231503544191987E+01    0.525364557611469181E+02    0.816081203604833993E-01   -0.102322173860350972E+03
    0.429929898704074276E+01    0.297225346308649652E+01    0.113692661641603863E+02    0.566220732236800899E+02    0.379868069224731686E+01   -0.101911177958642043E+03
    0.421031142697362704E+01    0.305304845888969822E+01    0.111570748656927616E+02    0.600303765429305187E+02    0.378310768107280107E-01   -0.101807489060435969E+03
    0.421932202597828621E+01    0.301910104599916496E+01    0.743898385067121559E+01    0.556678920998967186E+02    0.271140825313920697E+01   -0.101727941515405263E+03
    0.421967292643956426E+01    0.304768500461093472E+01    0.706779573203028910E+01    0.583320374035212765E+02    0.317197866865859546E+00   -0.101542664696748474E+03
    0.423036745353201571E+01    0.303528871898082730E+01    0.128557986444825474E+02    0.580458999459657079E+02    0.531719815709626956E-02   -0.101510670016494672E+03
    0.426034346473127457E+01    0.297783080634976871E+01    0.107186750454420672E+02    0.577796864960343868E+02    0.806189369656416521E-01   -0.101343470840576273E+03
    0.422857952424241379E+01    0.308330884912685121E+01    0.777829963733587526E+01    0.544915530852602998E+02    0.176265687747974146E-02   -0.101316074365320944E+03
    0.422440113712817755E+01    0.310088087517493172E+01    0.136713958275431757E+02    0.572256456037140140E+02    0.723935472914106648E+00   -0.101214156377981524E+03
    0.422230127423471924E+01    0.311965633369482198E+01    0.110538215747122255E+02    0.548783915887497074E+02    0.460029125653143231E-01   -0.101211673505851067E+03
    0.426624582233671301E+01    0.305868306641469356E+01    0.879177943100535053E+01    0.531799038497315024E+02    0.233851563497699599E+01   -0.101191286948220480E+03
    0.420603482307206722E+01    0.306779134029118694E+01    0.939941798322385580E+01    0.533547025897118132E+02    0.205809887468189595E+00   -0.101172046449605247E+03
    0.420851340823704856E+01    0.304102511718989366E+01    0.994708386591072902E+01    0.545388198062136311E+02    0.951648024629966893E+00   -0.101140171908582445E+03
    0.430486923794017162E+01    0.296781512147690352E+01    0.872659592217739188E+01    0.581178433862836599E+02    0.224435940952714746E-02   -0.101050108993198890E+03
    0.425170093888824319E+01    0.308706078184228083E+01    0.110856367653941881E+02    0.537918493298556015E+02    0.399298131312441518E+01   -0.101018602335925934E+03
