    0.411779707670211792E+01    0.204035103321075439E+01    0.252169656753540039E+02    0.952752709388732910E+02    0.472806449469221346E-01   -0.515014201313031754E+04   -0.690775511231546968E+01    1
    0.490270304679870605E+01    0.397672557830810547E+01    0.342094254493713379E+02    0.902140736579895020E+02    0.347774069536680146E-02   -0.487021989047579882E+04   -0.690875511231548245E+01    1
    0.483918249607086182E+01    0.393875277042388916E+01    0.275681257247924805E+02    0.943204581737518311E+02    0.127887533883136906E-02   -0.477828754842005583E+04   -0.690975511231547301E+01    1
    0.496078962087631226E+01    0.376986634731292725E+01    0.223440742492675781E+02    0.986176788806915283E+02    0.111558002538532527E-02   -0.462648222265443746E+04   -0.691075511231547601E+01    1
    0.498117482662200928E+01    0.377319777011871338E+01    0.353515839576721191E+02    0.945000767707824707E+02    0.387832186692004715E-02   -0.459902170426754765E+04   -0.691175511231546658E+01    1
    0.488098365068435669E+01    0.374003732204437256E+01    0.280864262580871582E+02    0.987715899944305420E+02    0.210755071110975654E-01   -0.435763404043318496E+04   -0.691275511231547579E+01    1
    0.412215638160705566E+01    0.213153243064880371E+01    0.134512019157409668E+02    0.999307751655578613E+02    0.798460742319392569E+00   -0.433472030341185746E+04   -0.691375511231547435E+01    1
    0.488627117872238159E+01    0.379884409904479980E+01    0.543653249740600586E+01    0.920844733715057373E+02    0.498509569549972220E-01   -0.430251296956535134E+04   -0.691475511231548357E+01    1
    0.405585360527038574E+01    0.211368572711944580E+01    0.169506931304931641E+02    0.886566042900085449E+02    0.380976167019062173E+00   -0.428627475059464177E+04   -0.691575511231552209E+01    1
    0.490277296304702759E+01    0.387032389640808105E+01    0.318897056579589844E+02    0.869808018207550049E+02    0.892004598111781205E-01   -0.425739871699516607E+04   -0.691675511231554463E+01    1
    0.462300175428390503E+01    0.388529324531555176E+01    0.386780858039855957E+02    0.945793449878692627E+02    0.345011973605315872E-02   -0.413296518725130773E+04   -0.691775511231549967E+01    1
    0.493497455120086670E+01    0.391414403915405273E+01    0.199210810661315918E+02    0.827887177467346191E+02    0.416419592309772102E+00   -0.408164859324049712E+04   -0.691875511231549378E+01    1
